name,start,end
John Delaney,2017-07-28,2020-01-31
Andrew Yang,2017-11-06,2020-02-11
Richard Ojeda,2018-11-11,2019-01-25
Tulsi Gabbard,2019-01-11,
Julian Castro,2019-01-12,2020-01-02
Kamala Harris,2019-01-21,2019-12-03
Marianne Williamson,2019-01-28,2020-01-10
Cory Booker,2019-02-01,2020-01-13
Elizabeth Warren,2019-02-09,2020-03-05
Amy Klobuchar,2019-02-10,2020-03-02
Bernie Sanders,2019-02-19,
Jay Inslee,2019-03-01,2019-08-21
John Hickenlooper,2019-03-04,2019-08-15
Beto O'Rourke,2019-03-14,2019-11-01
Kristen Gillibrand,2019-03-17,2019-08-28
Wayne Messam,2019-03-28,2019-11-19
Mike Gravel,2019-04-02,2019-08-06
Tim Ryan,2019-04-04,2019-10-24
Eric Swalwell,2019-04-08,2019-07-08
Pete Buttigieg,2019-04-14,2020-03-01
Seth Moulton,2019-04-22,2019-08-23
Joe Biden,2019-04-25,
Michael Bennet,2019-05-02,2020-02-11
Steve Bullock,2019-05-14,2019-12-02
Bill de Blasio,2019-05-16,2019-09-20
Joe Sestak,2019-06-23,2019-12-01
Tom Steyer,2019-07-09,2020-02-29
Deval Patrick,2019-11-14,2020-02-12
Michael Bloomberg,2019-11-24,2020-03-04
