year,initiative,category,category2,jack,chad
2004,Complex Biological Systems,Systems Biology,biology,Biology,biology
2005,Systems Biology,Systems Biology,biology,Biology,biology
2006,Systems Biology,Systems Biology,biology,Biology,biology
2007,Systems Biology,Systems Biology,biology,Biology,biology
2008,Systems Biology,Systems Biology,biology,Biology,biology
2009,Systems Biology and the Environment,Systems Biology and the Environment,biological and environmental systems,Biology and Environment,"biology, environmental"
2016,Advance understanding of complexity in biological and environmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2018,Advance the understanding of complexity in biological and environmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2019,Advance the understanding of complexity in biological and environmental systems,"Systems Biology, and Environmental Sustainability",biological and environmental systems,Biology and Environment,"biology, environmental"
2020,Understand complexity in biological and evironmental systems,biological and environmental systems,biological and environmental systems,Biology and Environment,"biology, environmental"
2011,Achieve breakthroughs in biomass production and conversion for energy and materials,biomass production and conversion,biomass production and conversion,Biomass Prod,biomass production
2012,Achieve breakthroughs in biomass production and conversion for energy and materials,biomass production and conversion,biomass production and conversion,Biomass Prod,biomass production
2010,"Climate Change Science, Systems Biology, and Environmental Sustainability","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2011,Advance climate change science and explore solution strategies,Climate Change Science,climate science,Climate Science,climate
2012,Advance understanding of climate change impacts,Climate Change Science,climate science,Climate Science,climate
2013,"Advance understanding in biological, environmental systems, and climate change impacts science","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2014,"Advance understanding in biological, environmental systems, and climate change impacts science","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
2015,"Advance understanding of complexity in biological, environmental and climate systems","Climate Change Science, Systems Biology, and Environmental Sustainability","climate science, biological systems, environmental science",Climate Science,"climate, biology, environmental"
