year,initiative,category,category1,category2,categoryjack,categorychad
2001,Complex Biological Systems,biological systems,,,,biology
2001,Energy and the Environmental Systems of the Future,"energy systems, environmental systems",,,,"energy systems, environmental"
2001,High-Performance Computing,HPC,,,,hpc
2001,Advanced Materials,materials,,,,materials
2001,Neutron Sciences,neutron sciences,,,,neutrons
2001,University Partnerships,university partnerships,,,,university partnerships
2002,Complex Biological Systems,biological systems,,,,biology
2002,Future Research and Development Directions,emerging R&D,,,,emerging r&d
2002,Energy and the Environmental Systems of the Future,"energy systems, environmental systems",,,,"energy systems, environmental"
2002,Terascale Computing and Simulation Science,"HPC, simulation science",,,,hpc
2002,Valuing Human Capital,human capital,,,,human capital
2002,Advanced Materials,materials,,,,materials
2002,National Security,national security,,,,national security
2002,Neutron Sciences,neutron sciences,,,,neutrons
2002,University Partnerships,university partnerships,,,,university partnerships
2004,Complex Biological Systems,biological systems,Systems Biology,biology,Biology,biology
2004,Future Research and Development Directions,emerging R&D,Emerging Research and Development Areas,emerging areas,Emerging R&D,emerging r&d
2004,Fission to Fusion,"fission science, fusion energy science",Fission to Fusion,?,Fission to Fusion,fission to fusion
2004,Grid Modernization,grid technology,Advanced Energy Systems,electric grid,Grid Tech,grid technology
2004,Terascale Computing and Simulation Science,"HPC, simulation science",Terascale Computing,computing,HPC,hpc
2004,Science and Technology for a Hydrogen Economy,hydrogen,Science and Technology for a Hydrogen Economy,hydrogen,Hydrogen,hydrogen
2004,Advanced Materials,materials,Advanced Materials,materials,Materials,materials
2004,National Security,national security,National Security,national security,National Security,national security
2004,Neutron Sciences,neutron sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2004,University Partnerships,university partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2005,Systems Biology,biological systems,Systems Biology,biology,Biology,biology
2005,Emerging Research and Development Areas,emerging R&D,Emerging Research and Development Areas,emerging areas,Emerging R&D,emerging r&d
2005,Advanced Grid Technologies,grid technology,Advanced Energy Systems,electric grid,Grid Tech,grid technology
2005,Terascale Computing and Simulation Science,"HPC, simulation science",Terascale Computing,computing,HPC,hpc
2005,Hydrogen Infrastructure,hydrogen,Hydrogen Infrastructure,hydrogen,Hydrogen,hydrogen
2005,Advanced Materials,materials,Advanced Materials,materials,Materials,materials
2005,National Security,national security,National Security Science and Technology,national security,National Security,national security
2005,Neutron Sciences,neutron sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2005,Space Nuclear,space nuclear,Space Nuclear,?,Space Nuclear,space nuclear
2005,University Partnerships,university partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2006,Systems Biology,biological systems,Systems Biology,biology,Biology,biology
2006,Advanced Energy Systems,energy systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
2006,Ultrascale Computing,HPC,Ultrascale Computing,computing,HPC,hpc
2006,Advanced Materials,materials,Advanced Materials,materials,Materials,materials
2006,National Security Science and Technology,national security,National Security Science and Technology,national security,National Security,national security
2006,Neutron Sciences,neutron sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2006,University Partnerships,university partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2007,Systems Biology,biological systems,Systems Biology,biology,Biology,biology
2007,Advanced Energy Systems,energy systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
2007,ITER and Fusion Energy Sciences,"fusion energy science, ITER",ITER and Fusion Energy Sciences,?,Fusion,"fusion, iter"
2007,Ultrascale Computing,HPC,Ultrascale Computing,computing,HPC,hpc
2007,Advanced Materials,materials,Advanced Materials,materials,Materials,materials
2007,National Security Science and Technology,national security,National Security Science and Technology,national security,National Security,national security
2007,Neutron Sciences,neutron sciences,Neutron Sciences,neutron science,Neutrons,neutrons
2007,University Partnerships,university partnerships,University Partnerships,university partnerships,Uni Partnerships,university partnerships
2008,Systems Biology,biological systems,Systems Biology,biology,Biology,biology
2008,Advanced Energy Systems,energy systems,Advanced Energy Systems,energy systems,Energy Systems,energy systems
