year,initiative,category,priority
2006,Consolidate Nuclear Capabilities,consolidate nuclear capabilities,1
2005,Consolidate Nuclear Capabilities,consolidate nuclear capabilities,1
2004,Consolidation of Nuclear Capabilities,consolidate nuclear capabilities,1
2000,Cost Reduction,cost reduction,1
2012,Achieve high reliability in operational discipline and safety performance,"operational discipline, safety",1
2009,Enhance Operational Discipline and Safety Culture,"operational discipline, safety",1
2010,Enhance Operational Discipline and Safety Culture,"operational discipline, safety",1
2008,Enhance Operational Discipline and Safety Culture,"operational discipline, safety",1
2007,Enhance Operational Discipline and Safety Culture,"operational discipline, safety",1
2006,Enhance Operational Discipline and Safety Culture,"operational discipline, safety",1
2020,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2019,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2018,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2017,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2016,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2015,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2014,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2013,"Achieve high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2011,"Sustain high reliability in operational discipline, security, and safety performance","operational discipline, security,  safety",1
2000,Facilities and Operations Stewardship,facilities and operations stewardship,1
2004,Facilities Modernization,facilities modernization,1
2003,Facilities Modernization,facilities modernization,1
2002,Facilities Modernization,facilities modernization,1
2001,Facilities Modernization,facilities modernization,1
2000,Facilities Revitalization,facilities modernization,1
2000,Human Capital Revitalization,human capital revitalization,1
2020,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2019,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2018,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2017,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2016,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2014,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2013,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2012,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2011,Increase value to the mission by driving process efficiencies and effectively managing risk,increase mission value,1
2000,Integrated Management Systems,integrated management systems,1
2020,Develop and implement a laboratory modernization plan that accommodates evolving Laboratory missions and infrastructure needs​,laboratory modernization,1
2019,Modernize and sustain Laboratory infrastructure,laboratory modernization,1
2018,Modernize and sustain Laboratory infrastructure,laboratory modernization,1
2017,Modernize and sustain Laboratory infrastructure,laboratory modernization,1
2016,Modernize and sustain Laboratory infrastructure,laboratory modernization,1
2011,Develop and implement a laboratory modernization plan that accommodates evolving Laboratory missions and infrastructure needs​,laboratory modernization,1
2008,Resolve Legacy Issues,legacy issues,1
2007,Resolve Legacy Issues,legacy issues,1
2006,Resolve Legacy Issues,legacy issues,1
2005,Resolve Legacy Issues,legacy issues,1
2004,Resolve Legacy Issues,legacy issues,1
2003,Legacy Issues,legacy issues,1
2015,Maximize productivity by efficient processes,maximize productivity,1
2015,Sustain mission and conventional infrastructure,mission and conventional infrastructure,1
2014,Sustain mission and conventional infrastructure,mission and conventional infrastructure,1
2013,Sustain mission and conventional infrastructure,mission and conventional infrastructure,1
2012,Sustaining mission and conventional infrastructure,mission and conventional infrastructure,1
2020,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2019,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2018,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2017,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2016,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2015,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2014,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2013,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2012,Building ORNL's nuclear infrastructure for the future,nuclear infrastructure,1
2011,"Operate, maintain, and build ORNL's nuclear infrastructure for the future",nuclear infrastructure,1
2004,Enhanced Operational Discipline,operational discipline,1
2003,Enhanced Operational Discipline,operational discipline,1
2002,Enhanced Operational Discipline,operational discipline,1
2001,Enhanced Operational Discipline,operational discipline,1
2009,Maximize Operation Efficiency,operational efficiency,1
2010,Maximize Operation Efficiency,operational efficiency,1
2008,Maximize Productivity,productivity,1
2007,Maximize Productivity,productivity,1
2006,Maximize Productivity,productivity,1
2005,Maximize Productivity,productivity,1
2003,Maximizing Research Effectiveness,research effectiveness,1
